Gender,Age,CGPA,Matriculation Percentage,Intermediate Percentage,Data Structures And Algorithm Marks,DBMS Marks,Number of backlogs,Number of Reappears,History of Reappear/Backlogs,Programming proficiency,GitHub total repositories,GitHub commits/month,Experience with frameworks,English proficiency,Coding practice hours/week,Aptitude score,Attandance,Recommended Career
Male,20,8.7,88.0,92.0,85.0,90.0,0.0,0.0,Placed well in DSA exams.,Intermediate,8.0,35.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,25.0,78.0,85.0,Software Engineer
Female,19,9.2,94.0,96.0,92.0,95.0,0.0,0.0,Consistently performed well.,Advanced,12.0,50.0,"Node.js (Express/NestJS), Django, Flask, FastAPI, Spring Boot, Ruby on Rails",Excellent,30.0,85.0,92.0,Software Engineer
Male,21,7.1,75.0,78.0,68.0,72.0,1.0,1.0,Struggled with Data Structures.,Beginner,3.0,10.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Average,10.0,55.0,70.0,Web Developer
Female,20,8.0,82.0,85.0,78.0,80.0,0.0,0.0,Improved significantly over time.,Intermediate,6.0,20.0,Node,Good,18.0,68.0,80.0,Software Engineer
Male,22,6.5,68.0,70.0,55.0,60.0,2.0,1.0,Difficulty with algorithms.,Beginner,1.0,5.0,"React, Angular, Vue.js, Svelte, Next.js, Nuxt.js",Poor,5.0,45.0,60.0,Web Developer
Female,19,9.5,96.0,98.0,95.0,98.0,0.0,0.0,Exceptional academic record.,Advanced,15.0,55.0,Angular,Excellent,35.0,90.0,95.0,Software Engineer
Male,20,7.8,80.0,83.0,75.0,77.0,0.0,0.0,Showed good understanding.,Intermediate,5.0,15.0,React,Good,20.0,70.0,82.0,Software Engineer
Female,21,8.3,85.0,87.0,80.0,83.0,0.0,0.0,Active in coding competitions.,Intermediate,9.0,30.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,28.0,75.0,88.0,Software Engineer
Male,22,6.0,65.0,68.0,50.0,55.0,3.0,2.0,Faced challenges with concepts.,Beginner,0.0,2.0,"TensorFlow, PyTorch, Keras",Poor,3.0,40.0,55.0,Software Engineer
Female,20,9.0,92.0,94.0,90.0,93.0,0.0,0.0,Strong analytical skills.,Advanced,11.0,45.0,Django,Excellent,32.0,82.0,90.0,Software Engineer
Male,21,7.3,77.0,80.0,70.0,73.0,1.0,0.0,Average performer overall.,Intermediate,4.0,12.0,"TensorFlow, PyTorch, Keras",Average,12.0,60.0,75.0,Software Engineer
Female,19,8.5,87.0,89.0,83.0,85.0,0.0,0.0,Keen interest in software.,Intermediate,7.0,25.0,"MERN, MEAN, MEVN, Django-React, Next.js-Node",Good,22.0,72.0,83.0,Software Engineer
Male,22,6.8,70.0,73.0,60.0,65.0,2.0,1.0,Needs improvement in basics.,Beginner,2.0,8.0,"TensorFlow, PyTorch, Keras",Poor,7.0,50.0,65.0,Web Developer
Female,20,9.3,95.0,97.0,93.0,96.0,0.0,0.0,Excellent problem-solving abilities.,Advanced,14.0,52.0,Angular,Excellent,34.0,88.0,93.0,Software Engineer
Male,21,7.6,79.0,82.0,73.0,75.0,0.0,0.0,Decent understanding of core subjects.,Intermediate,5.0,17.0,Node,Good,19.0,65.0,78.0,Software Engineer
